origin_airport;destination_airport_icao;destination_airport_iata;destination_airport_name;destination_airport_shortName;destination_airport_municipalityName;destination_airport_location;destination_airport_countryCode;daily_flights;0;1;2;3;4;5;6;7;8;9
EDDB;LFSB;BSL;Euro Basel-Mulhouse-Freiburg, Bï¿½le/Mulhouse;Euro Basel-Mulhouse-Freiburg;Bï¿½le/Mulhouse;{'lat': 47.5896, 'lon': 7.52991};FR;1.43;EDDB;BER;Berlin Brandenburg Airport;Berlin;Brandenburg;DE;52.362167;13.500667;Europe/Berlin;
EDDB;LEMG;AGP;Mï¿½laga, Mï¿½laga;Mï¿½laga;LEMG;{'lat': 36.6749, 'lon': -4.49911};ES;1.29;EDDB;BER;Berlin Brandenburg Airport;Berlin;Brandenburg;DE;52.362167;13.500667;Europe/Berlin;
EDDB;GCLP;LPA;Gran Canaria, Gran Canaria Island;Gran Canaria;Gran Canaria Island;{'lat': 27.9319, 'lon': -15.386599};ES;1.15;EDDB;BER;Berlin Brandenburg Airport;Berlin;Brandenburg;DE;52.362167;13.500667;Europe/Berlin;
EDDB;GCFV;FUE;Fuerteventura, Fuerteventura Island;Fuerteventura;Fuerteventura Island;{'lat': 28.4527, 'lon': -13.8638};ES;1.14;EDDB;BER;Berlin Brandenburg Airport;Berlin;Brandenburg;DE;52.362167;13.500667;Europe/Berlin;
EDDB;LOWS;SZG;Salzburg, Salzburg;Salzburg;LOWS;{'lat': 47.7933, 'lon': 13.0043};AT;1.14;EDDB;BER;Berlin Brandenburg Airport;Berlin;Brandenburg;DE;52.362167;13.500667;Europe/Berlin;
EDDB;EGPH;EDI;Edinburgh, Edinburgh;Edinburgh;EGPH;{'lat': 55.95, 'lon': -3.372499};GB;1.0;EDDB;BER;Berlin Brandenburg Airport;Berlin;Brandenburg;DE;52.362167;13.500667;Europe/Berlin;
EDDB;EGGW;LTN;London Luton, London;Luton;London;{'lat': 51.8747, 'lon': -0.368333};GB;1.0;EDDB;BER;Berlin Brandenburg Airport;Berlin;Brandenburg;DE;52.362167;13.500667;Europe/Berlin;
EDDB;GCRR;ACE;Lanzarote, Lanzarote Island;Lanzarote;Lanzarote Island;{'lat': 28.9455, 'lon': -13.605199};ES;0.86;EDDB;BER;Berlin Brandenburg Airport;Berlin;Brandenburg;DE;52.362167;13.500667;Europe/Berlin;
EDDB;LIRN;NAP;Naples, Nï¿½poli;Naples;Nï¿½poli;{'lat': 40.886, 'lon': 14.2908};IT;0.86;EDDB;BER;Berlin Brandenburg Airport;Berlin;Brandenburg;DE;52.362167;13.500667;Europe/Berlin;
EDDB;LICC;CTA;Catania-Fontanarossa, Catania;Fontanarossa;Catania;{'lat': 37.4668, 'lon': 15.066399};IT;0.57;EDDB;BER;Berlin Brandenburg Airport;Berlin;Brandenburg;DE;52.362167;13.500667;Europe/Berlin;
