,aircraft_code,airline_iata,airline_icao,altitude,callsign,destination_airport_iata,ground_speed,heading,icao_24bit,id,latitude,longitude,number,on_ground,origin_airport_iata,registration,squawk,time,vertical_speed,get_altitude,get_flight_level,get_ground_speed,get_heading,get_vertical_speed
0,A320,U2,EZY,37000,EZY93VH,TFS,412,214,406673,2f810516,32.5892,-14.2884,U28709,0,LGW,G-EZUZ,N/A,1678714176,0,37000 ft,370 FL,412 kts,214°,0 fpm
1,A20N,U2,EZY,36950,EZY8285,SSH,451,143,40756B,2f812b26,33.9693,27.3174,U28285,0,LGW,G-UZHL,N/A,1678714174,0,36950 ft,369 FL,451 kts,143°,0 fpm
2,A20N,U2,EZY,125,EZY84BK,TFS,114,68,407795,2f813371,28.038,-16.5912,U28703,0,LGW,G-UZLC,N/A,1678714173,-512,125 ft,125 ft,114 kts,68°,-512 fpm
3,A320,EC,EZY,39025,EJU9066,TFS,366,201,4408C9,2f814cee,40.3283,-9.3841,EC9066,0,BER,OE-IJU,N/A,1678714177,0,39025 ft,390 FL,366 kts,201°,0 fpm
4,A21N,U2,EZY,0,EJU83CB,LIS,12,73,440610,2f81570a,38.7838,-9.1332,U27348,1,MXP,OE-ISD,N/A,1678714176,0,0 ft,0 ft,12 kts,73°,0 fpm
5,A320,U2,EZY,18700,EZY18VH,LGW,332,312,406666,2f81580b,50.5762,0.9675,U28974,0,SOF,G-EZUL,N/A,1678714175,-1728,18700 ft,187 FL,332 kts,312°,-1728 fpm
6,A320,U2,EZY,3675,EZS1143,FAO,195,261,4B1A1B,2f81581d,36.9848,-7.6931,U21143,0,BSL,HB-JXB,N/A,1678714174,-768,3675 ft,3675 ft,195 kts,261°,-768 fpm
7,A319,U2,EZY,0,EZY47EY,LGW,13,345,400FDA,2f815964,51.1541,-0.1829,U28602,1,AGP,G-EZBI,N/A,1678714172,0,0 ft,0 ft,13 kts,345°,0 fpm
8,A320,U2,EZY,36975,EJU39KU,KRK,490,92,4400B9,2f815b79,50.0125,16.2759,U23815,0,CDG,OE-IVN,N/A,1678714175,64,36975 ft,369 FL,490 kts,92°,64 fpm
9,A319,U2,EZY,2825,EZY59FV,LGW,131,257,400EFD,2f815c91,51.1723,-0.014,U28902,0,GIB,G-EZBC,N/A,1678714175,-640,2825 ft,2825 ft,131 kts,257°,-640 fpm
10,A319,U2,EZY,16300,EZY91BV,LTN,382,25,40631B,2f815cf6,51.4969,-0.3035,U22452,0,PMO,G-EZFW,N/A,1678714177,-768,16300 ft,163 FL,382 kts,25°,-768 fpm
11,A320,U2,EZY,6000,EZY19JL,LGW,304,65,406670,2f815dbf,51.039,-0.0281,U28530,0,NAP,G-EZUW,N/A,1678714177,-384,6000 ft,6000 ft,304 kts,65°,-384 fpm
12,A320,U2,EZY,5925,EJU48MW,LIS,255,201,4401C3,2f815e2d,38.7267,-9.3134,U28717,0,LGW,OE-IJJ,N/A,1678714177,-640,5925 ft,5925 ft,255 kts,201°,-640 fpm
13,A20N,U2,EZY,2400,EZY86YG,CDG,142,265,40772D,2f816399,49.0333,2.6859,U26955,0,EDI,G-UZHX,N/A,1678714175,-640,2400 ft,2400 ft,142 kts,265°,-640 fpm
14,A320,U2,EZY,37050,EJU38TH,LIS,366,216,440047,2f8163f9,40.7766,-7.5616,U27656,0,LUX,OE-ICW,N/A,1678714175,0,37050 ft,370 FL,366 kts,216°,0 fpm
15,A320,U2,EZY,950,EJU97VZ,BOD,137,225,440C96,2f816471,44.8595,-0.6713,U27637,0,LIS,OE-ICJ,N/A,1678714175,-704,950 ft,950 ft,137 kts,225°,-704 fpm
16,A319,U2,EZY,775,EZY32BR,LGW,134,257,4010ED,2f8164e3,51.1506,-0.1723,U28222,0,VLC,G-EZBY,N/A,1678714175,-704,775 ft,775 ft,134 kts,257°,-704 fpm
17,A320,U2,EZY,9500,EJU73NL,RAK,314,185,44046D,2f8165b9,32.0175,-8.2098,U24119,0,BOD,OE-ICI,N/A,1678714175,-1472,9500 ft,9500 ft,314 kts,185°,-1472 fpm
18,A21N,U2,EZY,10000,EZY53YT,LGW,221,287,4078EF,2f8166b8,50.9657,-0.0654,U28662,0,ALC,G-UZMI,N/A,1678714175,0,10000 ft,10000 ft,221 kts,287°,0 fpm
19,A20N,U2,EZY,34975,EZY54RG,HRG,484,132,407A05,2f816713,40.2552,14.6898,U22341,0,LTN,G-UZLL,N/A,1678714177,0,34975 ft,349 FL,484 kts,132°,0 fpm
20,A319,U2,EZY,9000,EZY62CU,LGW,180,207,40653E,2f816af1,50.9633,-0.2762,U28276,0,MAD,G-EZGO,N/A,1678714175,0,9000 ft,9000 ft,180 kts,207°,0 fpm
21,A320,U2,EZY,5500,EZS38CV,SCQ,222,305,4B1A1F,2f816afa,42.9438,-8.2071,U21337,0,GVA,HB-JXF,N/A,1678714176,-64,5500 ft,5500 ft,222 kts,305°,-64 fpm
22,A320,EC,EZY,39000,EJU9051,FNC,384,230,4402F2,2f816b9e,45.9547,-3.6564,EC9051,0,BER,OE-IZE,N/A,1678714175,0,39000 ft,390 FL,384 kts,230°,0 fpm
23,A20N,U2,EZY,36025,EZY63YX,MAN,388,299,407794,2f816bb6,51.2937,8.303,U21934,0,SOF,G-UZLB,N/A,1678714176,128,36025 ft,360 FL,388 kts,299°,128 fpm
24,A320,U2,EZY,37000,EJU37PG,TLV,484,138,440176,2f816d6a,42.1099,21.0444,U23737,0,CDG,OE-IJF,N/A,1678714174,0,37000 ft,370 FL,484 kts,138°,0 fpm
25,A320,U2,EZY,19000,EZY71DG,LTN,392,22,406018,2f816dd7,50.9924,-0.6431,U22404,0,AGP,G-EZTL,N/A,1678714175,0,19000 ft,190 FL,392 kts,22°,0 fpm
26,A319,U2,EZY,10125,EZY84YV,LTN,298,341,4010EE,2f816ddf,51.8335,-0.2519,U22366,0,LIS,G-EZBZ,N/A,1678714176,-832,10125 ft,101 FL,298 kts,341°,-832 fpm
27,A319,U2,EZY,4350,EZY8201,LIN,205,355,400E59,2f816f49,45.2276,9.3005,U28201,0,LGW,G-EZAW,N/A,1678714175,-1280,4350 ft,4350 ft,205 kts,355°,-1280 fpm
28,A320,U2,EZY,0,EJU56NM,NCE,11,225,440057,2f816f71,43.6657,7.2175,U27673,1,LIS,OE-IVE,N/A,1678714176,0,0 ft,0 ft,11 kts,225°,0 fpm
29,A20N,U2,EZY,0,EZY23RT,LTN,12,306,407686,2f817096,51.8734,-0.3769,U22426,1,LYS,G-UZHR,N/A,1678714174,0,0 ft,0 ft,12 kts,306°,0 fpm
30,A320,U2,EZY,0,EJU53BX,NAP,26,213,44083B,2f8172fb,40.8824,14.2843,U24255,1,ORY,OE-IJA,N/A,1678714148,0,0 ft,0 ft,26 kts,213°,0 fpm
31,A319,U2,EZY,39025,EZY24GQ,FAO,414,185,405D11,2f8173e9,41.4127,-7.1602,U22015,0,LTN,G-EZDX,N/A,1678714175,-64,39025 ft,390 FL,414 kts,185°,-64 fpm
32,A320,EC,EZY,5800,EJU9056,NAP,230,156,440145,2f81751b,41.1353,14.408,EC9056,0,BER,OE-IZS,N/A,1678714177,-64,5800 ft,5800 ft,230 kts,156°,-64 fpm
33,A320,U2,EZY,2175,EZY72MV,PSA,195,36,406E69,2f817650,43.5838,10.2912,U26189,0,BRS,G-EZOX,N/A,1678714176,-1472,2175 ft,2175 ft,195 kts,36°,-1472 fpm
