,aircraft_code,airline_iata,airline_icao,altitude,callsign,destination_airport_iata,ground_speed,heading,icao_24bit,id,latitude,longitude,number,on_ground,origin_airport_iata,registration,squawk,time,vertical_speed,get_altitude,get_flight_level,get_ground_speed,get_heading,get_vertical_speed
106,A319,U2,EZY,875,EJU91DM,AMS,115,267,440732,2f7f1bf9,52.3202,4.8506,U26921,0,EDI,OE-LQE,N/A,1678635122,-640,875 ft,875 ft,115 kts,267°,-640 fpm
107,A320,U2,EZY,32275,EZY53TQ,HAM,491,89,406016,2f7f1c51,53.8105,7.3973,U26932,0,EDI,G-EZTM,N/A,1678635124,-2432,32275 ft,322 FL,491 kts,89°,-2432 fpm
108,A320,U2,EZY,35000,EZY8297,INN,516,104,406542,2f7f1c6f,50.2882,7.4945,U28297,0,LGW,G-EZUI,N/A,1678635123,0,35000 ft,350 FL,516 kts,104°,0 fpm
109,A319,U2,EZY,36025,EJU68FC,GVA,344,310,4401E8,2f7f1ce9,44.2511,9.9765,U21554,0,NAP,OE-LQC,N/A,1678635122,0,36025 ft,360 FL,344 kts,310°,0 fpm
110,A320,U2,EZY,34000,EJU97VZ,BOD,465,55,440C96,2f7f1d14,42.7663,-2.6724,U27637,0,LIS,OE-ICJ,N/A,1678635123,0,34000 ft,340 FL,465 kts,55°,0 fpm
111,A320,U2,EZY,4325,EJU75JG,BSL,231,196,440030,2f7f1d48,47.7936,7.3829,U23364,0,VCE,OE-IVB,N/A,1678635124,-832,4325 ft,4325 ft,231 kts,196°,-832 fpm
112,A320,U2,EZY,2475,EZY72UP,IOM,156,265,40643B,2f7f1f89,54.1213,-4.3186,U2325,0,MAN,G-EZTY,N/A,1678635123,0,2475 ft,2475 ft,156 kts,265°,0 fpm
113,A320,U2,EZY,37975,EJU18CR,LYS,489,73,440057,2f7f1fb7,42.1037,-3.5251,U24434,0,LIS,OE-IVE,N/A,1678635124,-64,37975 ft,379 FL,489 kts,73°,-64 fpm
114,A319,U2,EZY,0,EZY43XC,MAN,11,90,406135,2f7f1fdd,63.9646,-22.6073,U21810,1,KEF,G-EZFT,N/A,1678635124,0,0 ft,0 ft,11 kts,90°,0 fpm
115,A320,U2,EZY,25275,EZS421W,MPL,414,210,4B1A27,2f7f1fe5,44.7189,4.9187,U21241,0,BSL,HB-JXN,N/A,1678635122,-1984,25275 ft,252 FL,414 kts,210°,-1984 fpm
116,A320,U2,EZY,7000,EZY1860,MAN,336,33,406A91,2f7f207a,53.5095,-2.7431,U21860,0,JER,G-EZWP,N/A,1678635122,0,7000 ft,7000 ft,336 kts,33°,0 fpm
117,A319,U2,EZY,38000,EJU86YD,AMS,362,322,44034B,2f7f20d4,48.0247,9.0935,U27926,0,NCE,OE-LQR,N/A,1678635122,0,38000 ft,380 FL,362 kts,322°,0 fpm
118,A320,U2,EZY,37050,EJU54AT,LIS,414,225,440037,2f7f20dc,48.4253,1.1334,U27664,0,AMS,OE-IJR,N/A,1678635123,0,37050 ft,370 FL,414 kts,225°,0 fpm
119,A320,U2,EZY,35000,EZY6509,NAP,552,130,406011,2f7f21a2,48.2846,6.9297,U26509,0,LGW,G-EZTG,N/A,1678635124,0,35000 ft,350 FL,552 kts,130°,0 fpm
120,A320,U2,EZY,36050,EJU59QF,CDG,344,293,440176,2f7f21b7,46.4853,6.8805,U23796,0,VCE,OE-IJF,N/A,1678635123,0,36050 ft,360 FL,344 kts,293°,0 fpm
121,A319,U2,EZY,37000,EZY36TQ,TRN,500,156,406446,2f7f21e1,47.8641,2.9167,U28377,0,LGW,G-EZGI,N/A,1678635123,0,37000 ft,370 FL,500 kts,156°,0 fpm
122,A320,U2,EZY,0,EJU671E,BES,0,174,44083C,2f7f226a,45.717,5.0872,U24317,1,LYS,OE-IJQ,N/A,1678635123,0,0 ft,0 ft,0 kt,174°,0 fpm
123,A320,U2,EZY,38000,EJU78QE,MXP,349,322,4402AE,2f7f22a0,43.153,10.3089,U22894,0,NAP,OE-IVZ,N/A,1678635124,0,38000 ft,380 FL,349 kts,322°,0 fpm
124,A320,U2,EZY,9225,EJU69WJ,BGY,313,120,4402F1,2f7f2312,45.6838,9.6752,U22793,0,CDG,OE-INP,N/A,1678635122,-1856,9225 ft,9225 ft,313 kts,120°,-1856 fpm
125,A320,U2,EZY,37000,EZY48AJ,PRG,542,102,40643A,2f7f237e,52.4896,4.4557,U21801,0,MAN,G-EZTZ,N/A,1678635123,0,37000 ft,370 FL,542 kts,102°,0 fpm
126,A319,U2,EZY,2500,EJU809B,TLS,168,322,440CFE,2f7f237f,43.5275,1.4719,U24333,0,LYS,OE-LVK,N/A,1678635123,-960,2500 ft,2500 ft,168 kts,322°,-960 fpm
127,A320,U2,EZY,35025,EZY52BE,TLS,502,164,40622D,2f7f23fb,48.5759,0.5969,U28335,0,LGW,G-EZTV,N/A,1678635124,64,35025 ft,350 FL,502 kts,164°,64 fpm
128,A320,U2,EZY,27400,EJU98CV,ORY,337,309,44083B,2f7f2418,47.4399,4.6285,U24278,0,LIN,OE-IJA,N/A,1678635123,-1024,27400 ft,274 FL,337 kts,309°,-1024 fpm
129,A320,U2,EZY,11875,EZY271M,EDI,293,352,405F13,2f7f2435,55.4565,-3.0795,U211,0,LTN,G-EZTC,N/A,1678635122,-1984,11875 ft,118 FL,293 kts,352°,-1984 fpm
130,A20N,U2,EZY,36950,EZY86JR,BER,490,86,407796,2f7f2436,52.5353,7.6165,U22145,0,LTN,G-UZLD,N/A,1678635124,64,36950 ft,369 FL,490 kts,86°,64 fpm
131,A21N,U2,EZY,34825,EJU75MC,LIS,350,232,440610,2f7f24c9,40.4332,-7.5854,U27326,0,BIO,OE-ISD,N/A,1678635124,-1024,34825 ft,348 FL,350 kts,232°,-1024 fpm
132,A319,U2,EZY,11600,EJU75LD,LGW,278,252,440170,2f7f260b,51.1468,0.7766,U28878,0,AMS,OE-LQN,N/A,1678635122,-512,11600 ft,116 FL,278 kts,252°,-512 fpm
133,A319,U2,EZY,38000,EZY97DB,MAN,385,256,4010EC,2f7f2693,55.3153,6.2712,U21986,0,CPH,G-EZBX,N/A,1678635123,-64,38000 ft,380 FL,385 kts,256°,-64 fpm
134,A320,U2,EZY,36000,EJU96EL,CDG,366,324,440128,2f7f28b1,39.8884,13.6166,U23886,0,CTA,OE-IJZ,N/A,1678635122,0,36000 ft,360 FL,366 kts,324°,0 fpm
135,A320,U2,EZY,30000,EJU96ER,CDG,340,321,440237,2f7f28e2,47.4609,5.011,U22787,0,MXP,OE-INF,N/A,1678635122,-64,30000 ft,300 FL,340 kts,321°,-64 fpm
136,A319,U2,EZY,37025,EZY25NL,ZRH,514,120,405D0F,2f7f29c8,50.441,3.8944,U22043,0,LTN,G-EZDV,N/A,1678635123,0,37025 ft,370 FL,514 kts,120°,0 fpm
137,A319,U2,EZY,0,EZY461V,EDI,19,59,405B64,2f7f2a6e,55.9468,-3.3762,U2487,1,BFS,G-EZDK,N/A,1678635124,0,0 ft,0 ft,19 kts,59°,0 fpm
138,A319,U2,EZY,36975,EJU835X,BRI,470,126,4401E4,2f7f2a8e,43.617,13.0644,U22833,0,MXP,OE-LQD,N/A,1678635121,-64,36975 ft,369 FL,470 kts,126°,-64 fpm
139,A21N,U2,EZY,35950,EJU74QN,BOD,490,45,44079A,2f7f2ae5,40.9397,-6.3585,U27327,0,LIS,OE-ISG,N/A,1678635122,0,35950 ft,359 FL,490 kts,45°,0 fpm
140,A319,U2,EZY,35000,EZY741B,EDI,350,332,405B6A,2f7f2b07,53.312,-1.4493,U2809,0,LGW,G-EZDR,N/A,1678635123,-64,35000 ft,350 FL,350 kts,332°,-64 fpm
141,A320,U2,EZY,34025,EJU781C,ORY,352,328,440248,2f7f2bcc,45.6699,5.4697,U24064,0,NCE,OE-INH,N/A,1678635124,0,34025 ft,340 FL,352 kts,328°,0 fpm
142,A320,U2,EZY,33950,EZS127A,BOD,383,255,4B1A66,2f7f2c1d,45.951,3.8423,U21101,0,BSL,HB-JZY,N/A,1678635122,0,33950 ft,339 FL,383 kts,255°,0 fpm
143,A319,U2,EZY,36200,EZY19AX,LGW,345,303,405B67,2f7f2c47,49.9403,9.7822,U28982,0,MUC,G-EZDN,N/A,1678635124,640,36200 ft,362 FL,345 kts,303°,640 fpm
