origin_airport;destination_airport_icao;destination_airport_iata;destination_airport_name;destination_airport_shortName;destination_airport_municipalityName;destination_airport_location;destination_airport_countryCode;daily_flights
EGAA;EGKK;LGW;London Gatwick, London;Gatwick;London;{'lat': 51.1481, 'lon': -0.190277};GB;4.86
EGAA;EGGW;LTN;London Luton, London;Luton;London;{'lat': 51.8747, 'lon': -0.368333};GB;4.0
EGAA;EGGP;LPL;Liverpool John Lennon, Liverpool;John Lennon;Liverpool;{'lat': 53.3336, 'lon': -2.84972};GB;3.57
EGAA;EGBB;BHX;Birmingham, Birmingham;Birmingham;;{'lat': 52.4539, 'lon': -1.748029};GB;3.43
EGAA;EGPH;EDI;Edinburgh, Edinburgh;Edinburgh;;{'lat': 55.95, 'lon': -3.372499};GB;3.29
EGAA;EGCC;MAN;Manchester, Manchester;Manchester;;{'lat': 53.3537, 'lon': -2.27495};GB;3.29
EGAA;EGSS;STN;London Stansted, London;Stansted;London;{'lat': 51.885, 'lon': 0.234999};GB;3.0
EGAA;EGGD;BRS;Bristol, Bristol;Bristol;;{'lat': 51.3827, 'lon': -2.719089};GB;2.71
EGAA;EGPF;GLA;Glasgow, Glasgow;Glasgow;;{'lat': 55.8719, 'lon': -4.43306};GB;2.71
EGAA;EGNT;NCL;Newcastle, Newcastle upon Tyne;Newcastle;Newcastle upon Tyne;{'lat': 55.0375, 'lon': -1.691669};GB;1.71
EGAA;GCTS;TFS;Tenerife South, Tenerife Island;Tenerife South;Tenerife Island;{'lat': 28.0445, 'lon': -16.5725};ES;1.0
EGAA;LEAL;ALC;Alicante, Alicante;Alicante;;{'lat': 38.2822, 'lon': -0.558156};ES;0.86
EGAA;LSGG;GVA;Geneva Cointrin, Geneva;Cointrin;Geneva;{'lat': 46.2381, 'lon': 6.10895};CH;0.86
EGAA;LFPG;CDG;Charles de Gaulle, Paris;Charles de Gaulle;Paris;{'lat': 49.0128, 'lon': 2.549999};FR;0.86
EGAA;GCRR;ACE;Lanzarote, Lanzarote Island;Lanzarote;Lanzarote Island;{'lat': 28.9455, 'lon': -13.605199};ES;0.71
EGAA;LEMG;AGP;Málaga, Málaga;Málaga;;{'lat': 36.6749, 'lon': -4.49911};ES;0.71
EGAA;EHAM;AMS;Amsterdam Schiphol, Amsterdam;Schiphol;Amsterdam;{'lat': 52.3086, 'lon': 4.763889};NL;0.57
EGAA;GCLP;LPA;Gran Canaria, Gran Canaria Island;Gran Canaria;Gran Canaria Island;{'lat': 27.9319, 'lon': -15.386599};ES;0.57
EGAA;EGNM;LBA;Leeds Bradford, Leeds;Bradford;Leeds;{'lat': 53.8659, 'lon': -1.66057};GB;0.57
EGAA;LPFR;FAO;Faro, Faro;Faro;;{'lat': 37.0144, 'lon': -7.965909};PT;0.43
EGAA;EGNS;IOM;Isle of Man, Castletown;Isle of Man;Castletown;{'lat': 54.0833, 'lon': -4.623889};IM;0.43
EGAA;LFLL;LYS;Lyon Saint-Exupéry, Lyon;Saint-Exupéry;Lyon;{'lat': 45.7264, 'lon': 5.090829};FR;0.43
EGAC;EGPF;GLA;Glasgow, Glasgow;Glasgow;;{'lat': 55.8719, 'lon': -4.43306};GB;2.71
EGAC;EGKK;LGW;London Gatwick, London;Gatwick;London;{'lat': 51.1481, 'lon': -0.190277};GB;2.0
EGAC;EGGP;LPL;Liverpool John Lennon, Liverpool;John Lennon;Liverpool;{'lat': 53.3336, 'lon': -2.84972};GB;0.88
EGAC;EGGD;BRS;Bristol, Bristol;Bristol;;{'lat': 51.3827, 'lon': -2.719089};GB;0.29
